カテゴリ,管理番号,施設名,郵便番号,所在地,開設者名,管理者名,電話番号,開設年月日,有効開始日,有効終了日,出典ファイル
一般診療所,,パナソニック栗東健康管理室,520-3041,栗東市出庭19,パナソニック健康保険組合,,552-0405,1972-12-10,,,5624240.xlsx
一般診療所,,はなだ婦人クリニック,520-3031,栗東市綣3-10-22グレーシィ栗東ビステージ,花田　芳郎,,551-2175,2000-07-07,,,5624240.xlsx
一般診療所,,びわこ皮フ科,520-3024,栗東市小柿10丁目16-14,医療法人白兎会,,554-4165,2008-04-01,,,5624240.xlsx
一般診療所,,医療法人　栗東内科・内視鏡クリニック,520-3016,栗東市小野178,医療法人　栗東内科・内視鏡クリニック,,552-7211,2025-04-01,,,5624240.xlsx
一般診療所,,まがらクリニック,520-3036,栗東市十里83-3,麻柄　達夫,,551-1500,2006-07-27,,,5624240.xlsx
一般診療所,,まるやま医院,520-3027,栗東市野尻590　あかつきビル１階,丸山　啓介,,554-8881,2001-08-01,,,5624240.xlsx
一般診療所,,栗東なす耳鼻咽喉科,520-3026,栗東市下鈎864-1,那須　準子,,554-8714,2007-06-01,,,5624240.xlsx
一般診療所,,医療法人緑青会栗東はた内科医院,520-3032,栗東市苅原233,医療法人緑青会,,554-5550,2023-04-01,,,5624240.xlsx
一般診療所,,医療法人明照会　栗東ピースクリニック,520-3047,栗東市手原3-11-2,医療法人明照会,,553-3123,2007-04-01,,,5624240.xlsx
一般診療所,,医療法人社団 うつのみや医院,520-3036,栗東市十里136-2,医療法人社団うつのみや医院,,552-1888,1992-05-01,,,5624240.xlsx
一般診療所,,医療法人社団 真下胃腸科医院,520-3035,栗東市霊仙寺1-1-52,医療法人社団眞下胃腸科医院,,553-1041,1992-11-16,,,5624240.xlsx
一般診療所,,金沢整形外科ｸﾘﾆｯｸ,520-3016,栗東市小野881,医療法人金沢形成外科クリニック　理事長金沢　伸彦,,553-0007,2000-04-01,,,5624240.xlsx
一般診療所,,栗東雨森診療所,520-3016,栗東市小野442-1,雨森　保憲,,553-8666,1988-07-01,,,5624240.xlsx
一般診療所,,清水整形外科医院,520-3026,栗東市下鈎1630,清水　勉,,554-2839,1996-07-10,,,5624240.xlsx
一般診療所,,積水化学工業㈱滋賀栗東工場診療所,520-3027,栗東市野尻75,積水化学工業株式会社滋賀栗東工場,,553-0771,1973-11-10,,,5624240.xlsx
一般診療所,,特別養護老人ﾎｰﾑ淡海荘医務室,520-3041,栗東市出庭６９７番地の１,社会福祉法人恩賜財団済生会支部滋賀県済生会,,552-1224,1994-04-01,,,5624240.xlsx
一般診療所,,任医院,520-3014,栗東市川辺615,任　書煌,,552-5500,1991-05-27,,,5624240.xlsx
一般診療所,,梅井外科・皮フ科クリニック,520-3015,栗東市安養寺1-2-25,梅井　孫好,,553-6101,1976-11-25,,,5624240.xlsx
一般診療所,,樋上循環器科内科医院,520-3031,栗東市綣5-1-34,樋上　雅一,,552-6617,1989-10-23,,,5624240.xlsx
一般診療所,,立石医院,520-3037,栗東市北中小路2-6,立石　博之,,552-7267,1997-02-01,,,5624240.xlsx
一般診療所,,ちばレディースクリニック,520-3024,栗東市小柿５丁目１３番２号,医療法人ちばレディースクリニック,,551-5383,2012-07-17,,,5624240.xlsx
一般診療所,,湖南広域休日急病診療所,520-3046,栗東市大橋二丁目７番３号,湖南広域行政組合　管理者　橋川　渉,,551-1599,2014-04-13,,,5624240.xlsx
一般診療所,,くさか眼科,520-3031,栗東市綣２丁目4番5号　ウィングプラザ　1階,日下　利和,,,2014-05-02,,,5624240.xlsx
一般診療所,,栗東よしおか小児科,520-3031,栗東市綣３丁目5-17,医療法人ふたば,,596-3700,2015-03-01,,,5624240.xlsx
一般診療所,,にしかわ整形外科クリニック,520-3031,栗東市綣２丁目4番5号　ウィングプラザ　1階,西川　淳一,,551-2451,2017-01-05,,,5624240.xlsx
一般診療所,,栗東えりこ内科クリニック,520-3005,栗東市御園846-1,増田　江利子,,576-5551,2017-03-01,,,5624240.xlsx
一般診療所,,ありかた耳鼻咽喉科,520-3015,栗東市安養寺3丁目11-9,有方  雅彦,,596-3302,2017-05-02,,,5624240.xlsx
一般診療所,,特別養護老人ホーム治田の里医務室,524-0102,栗東市川辺６２７番地,社会福祉法人　よつば会,,599-5002,2017-07-01,,,5624240.xlsx
一般診療所,,医療法人 片岡クリニック,520-3015,栗東市安養寺8-1-33　ナガサワメディカルビル２階,医療法人 片岡クリニック,,554-7415,2017-10-01,,,5624240.xlsx
一般診療所,,日清食品株式会社関西工場 医務室,520-3026,栗東市下鈎21番地1,日清食品株式会社関西工場,,554-8686,2018-08-01,,,5624240.xlsx
一般診療所,,さとこ内科クリニック,520-3025,栗東市中沢2丁目5番54号,戸成　智子,,554-7070,2020-08-01,,,5624240.xlsx
一般診療所,,湖南サポートクリニック,520-3015,栗東市安養寺1丁目13-37 Kビル1階B号室,医療法人　慈仁会,,077-599-0465,2023-10-01,,,5624240.xlsx
一般診療所,,特別養護老人ホームはなえみ医療室,520-3022,栗東市上鈎２６５－１,社会福祉法人　よつば会,,596-5282,2021-04-01,,,5624240.xlsx
一般診療所,,医療法人ひえだクリニック,520-3045,栗東市高野562番地8,医療法人ひえだクリニック,,551-5388,2021-04-06,,,5624240.xlsx
一般診療所,,グリーンライフクリニック,520-3046,栗東市大橋一丁目7-37,藤井　保人,,532-8472,2021-04-17,,,5624240.xlsx
一般診療所,,医療法人あおあお在宅クリニック,520-3025,栗東市中沢二丁目11-10メゾン中沢１階,医療法人あおあお在宅クリニック,,090-6238-1422,2025-06-01,,,5624240.xlsx
一般診療所,,かとう皮フ科クリニック,520-3015,栗東市安養寺１丁目5-14,加藤　威,,077-558-5776,2023-04-01,,,5624240.xlsx
一般診療所,,となり眼科,520-3015,栗東市安養寺一丁目9番8号,戸成　匡宏,,077-598-6324,2023-04-01,,,5624240.xlsx
一般診療所,,草津栗東みらい内科クリニック,520-3024,栗東市小柿7丁目9-11 滋賀中央ビル２階,梅谷　俊介,,077-551-5060,2023-05-01,,,5624240.xlsx
一般診療所,,たにがわクリニック,520-3013,栗東市目川1403番,谷川　敬,,599-5797,2023-06-01,,,5624240.xlsx
一般診療所,,草津眼科クリニック,520-3024,栗東市小柿七丁目9-11,秋山　宏美,,553-2096,2023-06-10,,,5624240.xlsx
一般診療所,,こんぜ在宅クリニック,520-3015,栗東市安養寺七丁目1-18 エステートビル２階Ａ号室,原　文祐,,596-5562,2023-11-17,,,5624240.xlsx
一般診療所,,医療法人あずBaby&Kidsクリニック,520-3035,栗東市霊仙寺三丁目2-30,医療法人あずBaby&Kidsクリニック,,551-3131,2026-04-01,,,5624240.xlsx
一般診療所,,あんようじこどもクリニック,520-3015,栗東市安養寺一丁目9-9,今村　俊彦,,596-3168,2024-04-01,,,5624240.xlsx
一般診療所,,草津たにもと脳神経外科クリニック,520-3024,栗東市小柿七丁目1番3号,谷本　匡浩,,551-5515,2024-04-01,,,5624240.xlsx
一般診療所,,地域密着型特別養護老人ホームるりあんはうすクリニック,520-3016,栗東市小野８１４番地,社会福祉法人　るりあん,,596-3170,2024-05-01,,,5624240.xlsx
一般診療所,,もりた内科クリニック,520-3037,栗東市北中小路字老ノ木３４４番１,森田　幸弘,,077-516-4155,2024-09-01,,,5624240.xlsx
一般診療所,,てはらハートクリニック,520-3047,栗東市手原五丁目６番１２号,医療法人ハートセンター,,558-8100,2025-10-01,,,5624240.xlsx
一般診療所,,医療法人桜井皮ふ科医院,520-2353,野洲市久野部192-1,医療法人桜井皮ふ科医院,,518-0606,2006-04-01,,,5624240.xlsx
一般診療所,,野村内科医院,520-2331,野洲市小篠原2177,医療法人社団医真会,,587-0066,2007-08-01,,,5624240.xlsx
一般診療所,,医療法人吉川医院,524-0201,野洲市吉川928,医療法人吉川医院,,589-3901,2001-10-01,,,5624240.xlsx
一般診療所,,医療法人山地内科,520-2323,野洲市三上279-1,医療法人山地内科,,586-8708,2006-04-01,,,5624240.xlsx
一般診療所,,医療法人森野内科医院,520-2361,野洲市北野1-19-33,医療法人森野内科医院,,587-3636,1988-03-01,,,5624240.xlsx
一般診療所,,医療法人翔誠会　おおはし腎透析クリニック,520-2304,野洲市永原1833番4,医療法人翔誠会,,588-0084,2010-03-25,,,5624240.xlsx
一般診療所,,かねこ整形外科,520-2353,野洲市久野部191-1-1,金子　裕一郎,,588-6060,2000-07-25,,,5624240.xlsx
一般診療所,,希望が丘クリニック,520-2362,野洲市市三宅2354,木村　俊雄,,586-4103,2008-04-01,,,5624240.xlsx
一般診療所,,甲原医院,520-2331,野洲市小篠原2057-1,甲原　一郎,,587-0070,2008-11-04,,,5624240.xlsx
一般診療所,,ちかもち内科医院,520-2331,野洲市小篠原2208-1,近持　信男,,518-0511,2005-06-07,,,5624240.xlsx
一般診療所,,医療法人　遠田整形外科,520-2362,野洲市市三宅（字足ノ堂）2339-1,医療法人　遠田整形外科,,518-0220,2010-03-01,,,5624240.xlsx
一般診療所,,なかにし耳鼻咽喉科,520-2331,野洲市小篠原字入道1033-1,中西　豊,,586-3341,2001-04-01,,,5624240.xlsx
一般診療所,,本田医院,520-2324,野洲市近江冨士2丁目5-2,医療法人本田医院,,588-3500,1993-06-01,,,5624240.xlsx
一般診療所,,やすホームケアクリニック,520-2331,野洲市小篠原958-3,医療法人こまくさ会,,586-2457,2004-04-01,,,5624240.xlsx
一般診療所,,やすだ眼科,520-2361,野洲市北野1-1-8,安田　美代子,,586-3020,2005-04-01,,,5624240.xlsx
一般診療所,,山田クリニック,520-2362,野洲市市三宅2725,山田　紀彦,,581-0355,2001-04-14,,,5624240.xlsx
一般診療所,,伊藤整形外科,520-2343,野洲市大畑14-12,伊藤　哲,,586-0861,1981-02-05,,,5624240.xlsx
一般診療所,,医療法人ほりで医院,520-2353,野洲市久野部1-15,医療法人ほりで医院,,587-1601,1988-08-01,,,5624240.xlsx
一般診療所,,医療法人社団すぎやま内科,520-2331,野洲市小篠原1974-1,医療法人社団すぎやま内科,,586-1218,1996-05-01,,,5624240.xlsx
一般診療所,,医療法人社団たちいり小児科医院,520-2353,野洲市久野部198-1,医療法人社団たちいり小児科医院,,588-0141,1998-05-01,,,5624240.xlsx
一般診療所,,医療法人白井医院,520-2304,野洲市永原1833-1,医療法人白井医院,,587-0125,2010-05-01,,,5624240.xlsx
一般診療所,,吉田クリニック,520-2362,野洲市市三宅2732野洲化学ビル１Ｆ,吉田　慎太郎,,588-5080,1999-10-01,,,5624240.xlsx
一般診療所,,滋賀保健研究センター診療所本館,520-2304,野洲市永原664,一般財団法人滋賀保健研究センター,,587-3588,1989-01-05,,,5624240.xlsx
一般診療所,,滋賀保健研究センター診療所別館,520-2304,野洲市永原上町681番２,一般財団法人滋賀保健研究センター,,518-0030,2013-06-12,,,5624240.xlsx
一般診療所,,藤井医院,520-2362,野洲市市三宅2480,医療法人藤井医院,,586-5848,2004-04-01,,,5624240.xlsx
一般診療所,,特別養護老人ﾎｰﾑあやめの里医務室,524-0201,野洲市吉川字里ノ内３８５４番地の１,社会福祉法人野洲慈恵会,,589-8533,2000-10-01,,,5624240.xlsx
一般診療所,,特別養護老人ﾎｰﾑぎおうの里診療所,520-2351,野洲市冨波甲１３４０番地の１,社会福祉法人野洲慈恵会,,586-5444,2005-09-01,,,5624240.xlsx
一般診療所,,特別養護老人ﾎｰﾑ悠紀の里診療所,520-2322,野洲市南桜２１３１番地１,社会福祉法人野洲慈恵会,,587-4111,1991-09-01,,,5624240.xlsx
一般診療所,,南医院,520-2413,野洲市吉地1412,南　喜幸,,589-5061,1992-10-05,,,5624240.xlsx
一般診療所,,北村眼科,520-2341,野洲市行畑1-12-6,北村　善彦,,588-4340,1995-04-01,,,5624240.xlsx
一般診療所,,澤田医院,520-2351,野洲市富波甲1087-１,澤田　正史,,588-5855,2000-05-08,,,5624240.xlsx
一般診療所,,髙田クリニック,520-2341,野洲市行畑736,髙田　宏和,,535-1528,2008-07-28,,,5624240.xlsx
一般診療所,,たけだ眼科,520-2351,野洲市冨波甲1086番地５,医療法人 ｸﾞﾘｰﾝｽｳｫｰﾄﾞ,,,2016-01-04,,,5624240.xlsx
一般診療所,,医療法人 おかもと耳鼻咽喉科クリニック,520-2362,野洲市市三宅2339-4,医療法人おかもと耳鼻咽喉科クリニック,,518-0880,2018-04-01,,,5624240.xlsx
一般診療所,,医療法人くれよん うえだこどもクリニック,520-2331,野洲市小篠原869-1,医療法人くれよん,,596-3751,H.30.10.1,,,5624240.xlsx
一般診療所,,医療法人にしむら整形外科クリニック,520-2304,野洲市永原1834番1,医療法人　にしむら整形外科クリニック,,518-0055,2022-11-01,,,5624240.xlsx
一般診療所,,田中医院,520-2434,野洲市比江816,田中　久貴,,589-2113,2019-08-01,,,5624240.xlsx
一般診療所,,医療法人藤寿会えとうクリニック,520-2413,野洲市吉地1193番1,医療法人藤寿会,,575-8808,2019-10-01,,,5624240.xlsx
一般診療所,,医療法人拓翔会岸本産婦人科,520-2361,野洲市北野1丁目15-35,医療法人拓翔会,,586-1822,2020-04-01,,,5624240.xlsx
一般診療所,,特別養護老人ホーム野洲篠原すみれ園,520-2313,野洲市大篠原９５１番１,社会福祉法人すみれ厚生会,,596-5991,2021-03-01,,,5624240.xlsx
一般診療所,,ミカミクリニック,520-2323,野洲市三上1922-11,平田　利邦,,588-2111,2021-05-07,,,5624240.xlsx
一般診療所,,かつじクリニック,520-2362,野洲市市三宅2373,岡田　勝治,,077-514-8611,2022-07-04,,,5624240.xlsx
一般診療所,,平田レディースクリニック,520-2323,野洲市三上1937-14,平田　貴美子,,077-598-6573,2023-04-01,,,5624240.xlsx
一般診療所,,整形外科にしがわらクリニック,520-2423,野洲市西河原2363,下村　隆敏,,077-584-5248,2023-05-01,,,5624240.xlsx
一般診療所,,おきなか泌尿器科クリニック,520-2423,野洲市行畑672番１,沖中　勇輝,,077-518-6101,2025-04-01,,,5624240.xlsx
一般診療所,,あいこうか眼科,528-0005,甲賀市水口町水口６０４０－１,医療法人IC,,0748-69-7710,2026-04-01,,,5624240.xlsx
一般診療所,,医療法人荒川クリニック,520-3214,湖南市梅影町３－１４,医療法人 荒川クリニック,,0748-75-1477,2007-04-01,,,5624240.xlsx
一般診療所,,阿星山診療所,520-3234,湖南市中央５丁目１６８ 甲西中央ビル１０１号,本谷　研司,,0748-72-7634,2008-01-04,,,5624240.xlsx
一般診療所,,あらまき内科クリニック,520-3247,湖南市菩提寺東３－６－２２,荒牧　陽,,0748-60-1306,2012-08-01,,,5624240.xlsx
一般診療所,,医療法人浅田クリニック,528-0036,甲賀市水口町東名坂226番地１,医療法人浅田クリニック,,0748-69-7755,2025-11-01,,,5624240.xlsx
一般診療所,,あん医院,528-0042,甲賀市水口町虫生野中央１１９－１,安田　昌徳,,0748-65-6884,2002-04-01,,,5624240.xlsx
一般診療所,,今村医院,520-3322,甲賀市甲南町深川２２０１番地,医療法人メディカル甲賀,,0748-86-2119,1997-06-01,,,5624240.xlsx
一般診療所,,医療法人　岩谷医院,528-0024,甲賀市水口町中邸２ー１０,医療法人岩谷医院,,0748-62-0053,1988-03-01,,,5624240.xlsx
一般診療所,,いしい眼科,520-3106,湖南市石部中央六丁目１番３号,石井　正宏,,0748-76-3221,2015-08-01,,,5624240.xlsx
一般診療所,,うだ医院,528-0211,甲賀市土山町北土山１６８４－１,医療法人うだ医院,,0748-66-1050,2005-06-21,,,5624240.xlsx
一般診療所,,医療法人社団太田医院,528-0042,甲賀市水口町虫生野中央８１ー２,医療法人社団 太田医院,,0748-63-3553,1991-04-08,,,5624240.xlsx
一般診療所,,滋賀県立近江学園医局,520-3111,湖南市東寺四丁目１－１,滋賀県,,0748-77-2811,1971-10-01,,,5624240.xlsx
一般診療所,,医療法人小川診療所,520-3107,湖南市石部東２丁目５番３８号,医療法人小川診療所,,0748-77-8082,2018-04-02,,,5624240.xlsx
一般診療所,,株式会社クボタ　滋賀工場診療所,520-3211,湖南市高松２番地１,株式会社クボタ　 滋賀工場　工場長,,0748-75-2150,1974-04-01,,,5624240.xlsx
一般診療所,,医療法人社団寿久　   カズ皮フ科医院,520-3223,湖南市夏見６３４番地２,医療法人社団 寿久,,0748-71-2212,1998-02-02,,,5624240.xlsx
一般診療所,,かなじ耳鼻咽喉科,528-0005,甲賀市水口町水口樫の実５９９３－１,金地　明星,,0748-63-8733,2003-07-01,,,5624240.xlsx
一般診療所,,医療法人　川端医院,528-0234,甲賀市土山町徳原４５１,医療法人川端医院,,0748-67-0018,1966-04-06,,,5624240.xlsx
一般診療所,,かりゆしクリニック,528-0235,甲賀市土山町大野４０１,東　理,,0748-67-0155,2007-11-01,,,5624240.xlsx
一般診療所,,木村医院,528-0041,甲賀市水口町虫生野１０１５－９,医療法人　木村医院,,0748-62-2143,2022-10-01,,,5624240.xlsx
一般診療所,,こうせい眼科,520-3214,湖南市梅影町３－２０,山中　行人,,0748-75-4833,2021-06-28,,,5624240.xlsx
一般診療所,,湖南市立水戸診療所,520-3202,湖南市西峰町１番地１,湖南市,,0748-75-0180,2006-04-01,,,5624240.xlsx
一般診療所,,湖南市国民健康保険夏見診療所,520-3223,湖南市夏見１５０６ー１,湖南市,,0748-72-0015,2004-10-01,,,5624240.xlsx
一般診療所,,湖南市国民健康保険岩根診療所,520-3252,湖南市岩根１１５６ー２,湖南市,,0748-72-0039,2004-10-01,,,5624240.xlsx
一般診療所,,しが健康医療生活協同組合 医療生協こうせい駅前診療所,520-3231,湖南市針３３７－１,しが健康医療生活協同組合,,0748-71-3222,2013-03-06,,,5624240.xlsx
一般診療所,,医療法人社団美松会　甲西中央クリニック,520-3234,湖南市中央二丁目１２５番地,医療法人社団美松会,,0748-71-3150,2014-09-01,,,5624240.xlsx
一般診療所,,甲賀市立信楽中央病院　田代出張診療所,529-1814,甲賀市信楽町田代６１９番地,甲賀市,,0748-中央病院　　82-0249,2004-10-01,,,5624240.xlsx
一般診療所,,甲賀市立信楽中央病院　多羅尾出張診療所,529-1821,甲賀市信楽町多羅尾１９１８番地２,甲賀市,,0748-85-0001,2026-04-01,,,5624240.xlsx
一般診療所,,甲賀市立信楽中央病院　朝宮出張診療所,529-1841,甲賀市信楽町上朝宮４６７番地,甲賀市,,0748-82-0249（中央病院）,2025-10-01,,,5624240.xlsx
一般診療所,,厚生労働省第二共済組合　紫香楽病院所属所,529-1803,甲賀市信楽町牧９９７　紫香楽病院内,厚生労働省 第二共済組合,,0748-83-0101,昭和30年7月9日に開設許可,,,5624240.xlsx
一般診療所,,甲賀市立みなくち診療所,528-0049,甲賀市水口町貴生川２９３番地１,甲賀市,,0748-62-3346,2008-04-01,,,5624240.xlsx
一般診療所,,湖南市立石部診療所,520-3107,湖南市石部東五丁目３番１号,湖南市,,0748-77-4100,2006-04-01,,,5624240.xlsx
一般診療所,,湖南整形外科こやまクリニック,520-3106,湖南市石部中央４丁目８番４７号,古山　健蔵,,0748-78-0501,2023-04-01,,,5624240.xlsx
一般診療所,,さいとう医院　内科・消化器内科,528-0015,甲賀市甲賀市水口町松栄３番２６号,医療法人景聖健,,0748-65-2002,2022-11-01,,,5624240.xlsx
一般診療所,,佐藤眼科,528-0035,甲賀市水口町名坂781-1,佐藤　友哉,,0748-63-5234,2007-05-01,,,5624240.xlsx
一般診療所,,佐野医院,520-3106,湖南市石部中央４丁目１－５７,佐野　晴夫,,0748-77-8280,2006-03-27,,,5624240.xlsx
一般診療所,,しがらきクリニック,529-1851,甲賀市信楽町長野６１９－１,松野　修一,,0748-82-7833,2003-04-01,,,5624240.xlsx
一般診療所,,耳鼻咽喉科やまもとクリニック,520-3308,甲賀市甲南町野田４７５－６,山本　聡,,0748-76-0387,2025-10-01,,,5624240.xlsx
一般診療所,,医療法人社団美松会　下田クリニック,520-3201,湖南市下田１５１６番地１,医療法人社団美松会,,0748-75-8688,2018-12-10,,,5624240.xlsx
一般診療所,,医療法人親愛レディースクリニック,528-0041,甲賀市水口町虫生野１０９８－１,医療法人親愛 レディースクリニック,,0748-63-3321,1995-11-01,,,5624240.xlsx
一般診療所,,すずきスキンクリニック,528-0029,甲賀市水口町南林口４９番地,医療法人グリーンスウォード,,0748-65-2220,2016-03-01,,,5624240.xlsx
一般診療所,,積水化学工業株式会社　滋賀水口工場診療所,528-8585,甲賀市水口町泉１２５９,積水化学工業(株)滋賀水口工場　工場長,,0748-63-3489,1963-11-01,,,5624240.xlsx
一般診療所,,医療法人高志会　竹内リウマチ科整形外科,520-3307,甲賀市甲南町野尻７７－１,医療法人高志会,,0748-86-8205,2002-05-01,,,5624240.xlsx
一般診療所,,田代外科・整形外科医院,528-0056,甲賀市水口町泉１２７２,医療法人社団田代外科・整形外科医院,,0748-62-0635,2000-05-01,,,5624240.xlsx
一般診療所,,医療法人社団ゆずりは会 たなか小児科医院,528-0012,甲賀市水口町暁２番３号,医療法人社団ゆずりは会　たなか小児科医院,,0748-65-0121,2004-11-01,,,5624240.xlsx
一般診療所,,たかやま内科クリニック,528-0005,甲賀市水口町水口5546-4,髙山　智行,,0748-69-6366,2024-12-09,,,5624240.xlsx
一般診療所,,医療法人圭裕会　田代クリニック,528-0007,甲賀市水口町新城433番地１,医療法人圭裕会,,0748-65-2121,2025-06-01,,,5624240.xlsx
一般診療所,,つばさクリニック,528-0033,甲賀市水口町綾野３－３３,鶴山　幸喜,,0748-63-7766,2010-10-01,,,5624240.xlsx
一般診療所,,医療法人　寺井医院,520-3332,甲賀市甲南町希望ヶ丘本町6丁目857-81,医療法人寺井医院,,0748-86-1112,1998-09-07,,,5624240.xlsx
一般診療所,,甲賀シルバーケア豊壽園医務室,528-0211,甲賀市土山町北土山４７９,社会福祉法人洗心福祉会,,0748-66-8065,2018-03-01,,,5624240.xlsx
一般診療所,,特別養護老人ホーム    エーデル土山医務室,528-0211,甲賀市土山町北土山２０６２,社会福祉法人あいの土山福祉会,,0748-66-1911,1999-04-01,,,5624240.xlsx
一般診療所,,特別養護老人ホーム　甲賀荘附属診療所,520-3431,甲賀市甲賀町大原中９０４,社会福祉法人 甲賀会,,0748-88-5723,1981-01-15,,,5624240.xlsx
一般診療所,,社会福祉法人近江和順会　特別養護老人ホーム美松苑医務室,520-3231,湖南市針１３２５,社会福祉法人近江和順会,,0748-72-4705,2002-04-11,,,5624240.xlsx
一般診療所,,社会福祉法人近江和順会　特別養護老人ホーム針っ子医務室,520-3231,湖南市針１３２５,社会福祉法人近江和順会,,0748-71-2223,2011-05-16,,,5624240.xlsx
一般診療所,,特別養護老人ホームヴィラ十二坊,520-3252,湖南市岩根６９０－４,社会福祉法人近江和順会,,0748-75-8883,2008-04-01,,,5624240.xlsx
一般診療所,,社会福祉法人近江和順会　特別養護老人ホーム百伝の杜医務室,520-3252,湖南市岩根６９０－４,社会福祉法人近江和順会,,0748-69-7688,2011-05-09,,,5624240.xlsx
一般診療所,,特別養護老人ホーム　せせらぎ苑医務室,520-3321,甲賀市甲南町葛木８５５番地,社会福祉法人甲南会,,0748-86-1020,1997-04-01,,,5624240.xlsx
一般診療所,,特別養護老人ホーム　信楽荘医務室,529-1803,甲賀市信楽町牧１１５９,社会福祉法人信楽福祉会,,0748-83-1313,1992-06-01,,,5624240.xlsx
一般診療所,,特別養護老人ホーム　兆生園医務室,528-0002,甲賀市水口町今郷１０３２番地２５,社会福祉法人天地会,,0748-63-1784,1989-04-01,,,5624240.xlsx
一般診療所,,社会福祉法人　信楽福祉会　特別養護老人ホーム　樹の郷　医務室,528-0067,甲賀市水口町山３３０９,社会福祉法人 信楽福祉会,,0748-63-2900,2012-04-01,,,5624240.xlsx
一般診療所,,特別養護老人ホームレーベンはとがひら医務室,528-0005,甲賀市水口町水口６８３７－５,社会福祉法人近江和順会,,0748-65-0066,2015-07-01,,,5624240.xlsx
一般診療所,,特別養護老人ホームあぼし医務室,520-3112,湖南市丸山四丁目５番１号,社会福祉法人 八起会,,0748-77-0037,2004-10-10,,,5624240.xlsx
一般診療所,,社会福祉法人　八起会　地域密着型特別養護老人ホーム　みやのもり　医務室,520-3102,湖南市宮ノ森１丁目２番１号,社会福祉法人　 八起会,,0748-77-0016,2012-04-01,,,5624240.xlsx
一般診療所,,なごみ内科クリニック,520-3252,湖南市岩根4580,田﨑　和仁,,0748-69-6753,2014-11-05,,,5624240.xlsx
一般診療所,,中西医院,528-0211,甲賀市土山町北土山石倉１４３３ー２,中西　二,,0748-66-0712,1990-03-06,,,5624240.xlsx
一般診療所,,日本精工株式会社石部工場診療所,520-3109,湖南市石部が丘１丁目１番１号,日本精工(株)石部工場執行役工場長,,0748-77-7105,1949-11-01,,,5624240.xlsx
一般診療所,,野村産婦人科,520-3233,湖南市柑子袋６１１番地,医療法人真心会,,0748-72-6633,2003-11-01,,,5624240.xlsx
一般診療所,,のむら小児科,520-3106,湖南市石部中央一丁目３－２６,医療法人社団　のむら小児科,,0748-77-8228,2023-05-01,,,5624240.xlsx
一般診療所,,ハートクリニックこころ,520-3307,甲賀市甲南町野尻４１１番地,医療法人勁草会,,0748-86-0011,2020-10-01,,,5624240.xlsx
一般診療所,,医療法人尚友会　速水医院,528-0058,甲賀市水口町北泉一丁目１２８,医療法人尚友会,,0748-65-3211,2005-04-01,,,5624240.xlsx
一般診療所,,医療法人みのり会　濱田クリニック,528-0005,甲賀市水口町水口５９９２番地１,医療法人みのり会,,0748-65-3737,2011-11-01,,,5624240.xlsx
一般診療所,,医療法人社団平川クリニック,528-0036,甲賀市水口町東名坂１８４ー２,医療法人社団 平川クリニック,,0748-63-6373,2001-05-01,,,5624240.xlsx
一般診療所,,平松耳鼻咽喉科,520-3235,湖南市平松北３丁目７３,山本　大喜,,0748-76-1987,2025-10-01,,,5624240.xlsx
一般診療所,,古西医院,520-3436,甲賀市甲賀町拝坂８３３ー１４１,古西　博明,,0748-88-5575,1992-01-01,,,5624240.xlsx
一般診療所,,深野内科医院,520-3235,湖南市平松北二丁目５３番,深野　美也,,0748-72-9595,2004-10-01,,,5624240.xlsx
一般診療所,,医療法人 深井クリニック,528-0064,甲賀市水口町伴中山３８０２番地,医療法人 深井クリニック,,0748-65-4100,2005-10-01,,,5624240.xlsx
一般診療所,,医療法人和晃会ふじた医院,520-3233,湖南市柑子袋５９０番地１,医療法人和晃会ふじた医院,,0748-72-8777,2020-04-01,,,5624240.xlsx
一般診療所,,医療法人社団布留クリニック,520-3301,甲賀市甲南町寺庄１０９８,医療法人社団布留クリニック,,0748-86-3135,1961-12-18,,,5624240.xlsx
一般診療所,,ほしやま内科医院,520-3248,湖南市菩提寺西１－９－２３－１０１,星山　俊潤,,0748-74-8618,2002-04-01,,,5624240.xlsx
一般診療所,,医療法人ますだ内科医院,520-3432,甲賀市甲賀町滝２２３１－１,医療法人 ますだ内科医院,,0748-88-2277,2015-10-01,,,5624240.xlsx
一般診療所,,医療法人社団美松会　三雲クリニック,520-3221,湖南市三雲５５６-２,医療法人社団美松会,,0748-71-3220,2015-08-01,,,5624240.xlsx
一般診療所,,水口眼科医院,528-0032,甲賀市水口町八坂３番６５号,塩澤　正樹,,0748-62-0840,2004-11-01,,,5624240.xlsx
一般診療所,,みなくちこどもクリニック,528-0029,甲賀市水口町南林口４７番地２,医療法人グリーンスウォード,,0748-63-2100,2017-05-01,,,5624240.xlsx
一般診療所,,医療法人社団　村上整形外科クリニック,528-0041,甲賀市水口町虫生野１０９５ー４,医療法人社団村上整形外科クリニック,,0748-63-7751,1999-12-13,,,5624240.xlsx
一般診療所,,むらき眼科,529-1851,甲賀市信楽町長野1363-1,村木　早苗,,0748-78-0077,2017-04-01,,,5624240.xlsx
一般診療所,,医療法人やまもと内科・外科クリニック,528-0042,甲賀市水口町虫生野中央１１１,医療法人やまもと内科・外科クリニック,,0748-62-9559,2017-10-01,,,5624240.xlsx
