カテゴリ,施設名,郵便番号,所在地,住所,番地,電話番号,営業者氏名,確認・許可年月日,種別,旧種別,登録期限,保健所,出典ファイル
理容所,ヘアーサロン ・ ツダ,522-0047,彦根市日夏町,彦根市日夏町２６１９,２６１９,0749-25-0780,津田 吉彦,H15/06/05,,,,彦根,5627913.pdf
理容所,へあーさろん うの,522-0053,彦根市大藪町,彦根市大藪町２１８４,２１８４,24-6168,宇野 幸生,H01/11/02,,,,彦根,5627913.pdf
理容所,ヘアーサロン オカダ,522-0063,彦根市中央町,彦根市中央町５－２４,５－２４,0749-22-5112,岡田 昭三郎,S53/05/04,,,,彦根,5627913.pdf
理容所,ヘアーサロン おがわ,522-0261,犬上郡甲良町長寺,犬上郡甲良町長寺１１００－３,１１００－３,0749-38-3234,小川 藤勝,S57/11/13,,,,彦根,5627913.pdf
理容所,ヘアーサロン オモト,522-0053,彦根市大藪町,彦根市大藪町１８６５－２,１８６５－２,0749-22-2073,尾本 真吾,S57/08/06,,,,彦根,5627913.pdf
理容所,ヘアーサロン カシハラ,522-0241,犬上郡甲良町呉竹,犬上郡甲良町呉竹３２５－５,３２５－５,28-0502,柏原 紀浩,S62/06/08,,,,彦根,5627913.pdf
理容所,ヘアーサロン かつまさ,522-0053,彦根市大藪町,彦根市大藪町１６３－２５,１６３－２５,23-8543,竹林 薫,S52/08/10,,,,彦根,5627913.pdf
理容所,ヘアーサロン シロー,522-0043,彦根市小泉町,彦根市小泉町３００－１９,３００－１９,24-2101,北川 清朗,S52/08/25,,,,彦根,5627913.pdf
理容所,ヘアーサロン センダ,522-0002,彦根市松原一丁目,彦根市松原一丁目２－１１,２－１１,0749-22-6782,千田 一人,H10/03/04,,,,彦根,5627913.pdf
理容所,ヘアーサロン タカダ,521-1102,彦根市下岡部町,彦根市下岡部町山ノ脇７２－４,山ノ脇７２－４,43-6035,高田 敏一,S52/10/11,,,,彦根,5627913.pdf
理容所,ヘアーサロン テライ,522-0066,彦根市栄町二丁目,彦根市栄町二丁目１－３７,１－３７,22-6932,寺居 映子,H05/09/07,,,,彦根,5627913.pdf
理容所,ヘアーサロン フジツカ,522-0088,彦根市銀座町,彦根市銀座町２－３１,２－３１,0749-22-2652,藤塚 利雄,S49/06/20,,,,彦根,5627913.pdf
理容所,ヘアーサロン フタムラ,522-0002,彦根市松原町,彦根市松原町千原１７５９,千原１７５９,24-2715,二村 智弘,S53/04/26,,,,彦根,5627913.pdf
理容所,ヘアーサロン モリ,522-0057,彦根市八坂町,彦根市八坂町１３３７,１３３７,0749-28-1635,森 光代,S41/12/05,,,,彦根,5627913.pdf
理容所,ヘアーサロン ローズ,522-0223,彦根市川瀬馬場町,彦根市川瀬馬場町８８３－２,８８３－２,28-1159,辻田 守,H16/02/01,,,,彦根,5627913.pdf
理容所,ヘアーサロン 光,522-0041,彦根市平田町,彦根市平田町６７３－１第３那須ビル,６７３－１第３那須ビル,23-3967,西澤 佳光,H01/06/17,,,,彦根,5627913.pdf
理容所,ヘアーサロン 八重子,522-0023,彦根市原町,彦根市原町８０８－２５,８０８－２５,23-1204,矢野 八重子,H06/02/21,,,,彦根,5627913.pdf
理容所,ヘアーサロン・マメヒコ,522-0201,彦根市高宮町,彦根市高宮町１９８３,１９８３,24-1046,北川 和彦,H09/09/29,,,,彦根,5627913.pdf
理容所,ヘアーサロン・ラブ,522-0041,彦根市平田町,彦根市平田町８０５,８０５,0749-22-5066,有限会社ラブ,H07/03/09,,,,彦根,5627913.pdf
理容所,ヘアーサロン タカハシ,522-0342,犬上郡多賀町敏満寺,犬上郡多賀町敏満寺１３０５,１３０５,0749-48-0232,高橋 成幸,H12/02/04,,,,彦根,5627913.pdf
理容所,Ｍｅｎ’ｓ Ｇｒｏｏｍｉｎｇ Ｂａｒ Ｂｅｒ Ｓａｌｏｎ ＧＥＮＴ’Ｓ,529-1321,愛知郡愛荘町豊満,愛知郡愛荘町豊満４８８－４,４８８－４,0749-42-3329,西沢 博文,H12/04/19,,,,彦根,5627913.pdf
理容所,ヘアサロン 西居,522-0087,彦根市芹橋二丁目,彦根市芹橋二丁目４－４,４－４,24-3828,西居 新時,H05/12/06,,,,彦根,5627913.pdf
理容所,ヘアーサロン山田,522-0261,犬上郡甲良町長寺,犬上郡甲良町長寺５４６,５４６,0749-38-3800,山田 清一,H12/03/06,,,,彦根,5627913.pdf
理容所,まさき理容,522-0084,彦根市橋向町,彦根市橋向町２４,２４,24-4541,正木 国男,S55/04/24,,,,彦根,5627913.pdf
理容所,ミムラ理容室,522-0025,彦根市野田山町,彦根市野田山町１０６４－２０,１０６４－２０,23-4160,三村 久男,S61/04/29,,,,彦根,5627913.pdf
理容所,メンズヘアー フジツカ,522-0089,彦根市錦町,彦根市錦町５－２２,５－２２,0749-22-6716,藤塚 幸利,S41/03/10,,,,彦根,5627913.pdf
理容所,やすらぎ髪細工 Ｗａ,522-0054,彦根市西今町,彦根市西今町９２２－１０,９２２－１０,0749-26-6262,山本 正,H17/10/05,,,,彦根,5627913.pdf
理容所,ラルジュ 彦根市立病院店,522-0057,彦根市八坂町,彦根市八坂町１８８２ 彦根市立病院内 地下１階,１８８２ 彦根市立病院内 地下１階,0749-22-6050 （0680）,株式会社フィール,H19/03/08,,,,彦根,5627913.pdf
理容所,ＭＥＮ'Ｓ ＢＥＡＵＴＹ ＲＥＤ ＣＯ ＯＬ,522-0074,彦根市大東町,彦根市大東町２－３３,２－３３,22-8495,ｒｙｕ－ｚｕ株式会社,H06/06/27,,,,彦根,5627913.pdf
理容所,宇水理髪館,522-0083,彦根市河原三丁目,彦根市河原三丁目２－２３,２－２３,22-3934,宇水 勇,S55/02/27,,,,彦根,5627913.pdf
理容所,芹橋理容,522-0084,彦根市橋向町,彦根市橋向町４７,４７,22-4536,趙 家慶,S20/05/06,,,,彦根,5627913.pdf
理容所,近江鉄道グループ弥栄会,522-0074,彦根市大東町,彦根市大東町４－１７,４－１７,23-4021,近江鉄道グループ弥栄会,S55/09/23,,,,彦根,5627913.pdf
理容所,元持理容店,522-0066,彦根市栄町一丁目,彦根市栄町一丁目５－２３,５－２３,0749-22-8521,元持 悟,S48/11/01,,,,彦根,5627913.pdf
理容所,広瀬理容所,529-1315,愛知郡愛荘町沓掛,愛知郡愛荘町沓掛５７０,５７０,42-3561,広瀬 大一,S12/10/01,,,,彦根,5627913.pdf
理容所,山崎理容所,522-0261,犬上郡甲良町長寺,犬上郡甲良町長寺西３７４,西３７４,38-3691,山崎 鉄蔵,S41/04/05,,,,彦根,5627913.pdf
理容所,山本理容店,522-0088,彦根市銀座町,彦根市銀座町７－１０,７－１０,23-0290,山本 武,H07/03/28,,,,彦根,5627913.pdf
理容所,小杉理容,522-0064,彦根市本町一丁目,彦根市本町一丁目７－３８,７－３８,23-6865,小杉 貞尾,H04/12/07,,,,彦根,5627913.pdf
理容所,針崎理容,522-0064,彦根市本町二丁目,彦根市本町二丁目１－２７,１－２７,22-6881,針崎 正男,S45/02/04,,,,彦根,5627913.pdf
理容所,仁保理容院,522-0031,彦根市芹中町,彦根市芹中町５２,５２,22-3912,仁保 晃,S44/05/27,,,,彦根,5627913.pdf
理容所,西川理容院,522-0261,犬上郡甲良町長寺,犬上郡甲良町長寺西４００,西４００,38-2790,西川 春見,S37/07/10,,,,彦根,5627913.pdf
理容所,西澤理容所,529-1322,愛知郡愛荘町平居,愛知郡愛荘町平居２８６,２８６,42-5410,西澤 信一,S62/02/03,,,,彦根,5627913.pdf
理容所,多美理容室,522-0201,彦根市高宮町,彦根市高宮町８５８,８５８,0749-22-2076,堤 多美子,S38/11/18,,,,彦根,5627913.pdf
理容所,茶木理容所,529-1172,犬上郡豊郷町安食南,犬上郡豊郷町安食南２５４－１,２５４－１,35-2689,茶木 ハナ,S55/09/17,,,,彦根,5627913.pdf
理容所,中島理容所,522-0083,彦根市河原三丁目,彦根市河原三丁目４－２８,４－２８,22-6592,中島 孝一,S60/03/28,,,,彦根,5627913.pdf
理容所,堤 ＢＡＲ ＢＡＲ,529-1206,愛知郡愛荘町蚊野,愛知郡愛荘町蚊野１５７１,１５７１,0749-37-2467,堤 正治,H02/12/18,,,,彦根,5627913.pdf
理容所,田中理容所,529-1235,愛知郡愛荘町目加田,愛知郡愛荘町目加田２００２－１,２００２－１,37-2260,田中 忠七,S07/05/01,,,,彦根,5627913.pdf
理容所,田中理容所,522-0063,彦根市中央町,彦根市中央町６－２５,６－２５,22-0233,田中 茂,S55/10/21,,,,彦根,5627913.pdf
理容所,白木理容所,522-0029,彦根市地蔵町,彦根市地蔵町５１９,５１９,22-4761,白木 正一,S50/06/02,,,,彦根,5627913.pdf
理容所,髪ｉｎｇ ＢＥＬＩＥＶＥ,522-0054,彦根市西今町,彦根市西今町４０５－４,４０５－４,26-1583,由田 安弘,H05/03/10,,,,彦根,5627913.pdf
理容所,髪工房 ＴＡＫＡＨＡＳＨＩ,522-0341,犬上郡多賀町多賀,犬上郡多賀町多賀３３０－１,３３０－１,0749-48-0211,高橋 美代子,H10/09/04,,,,彦根,5627913.pdf
理容所,髪細工 サロン・ド・Ｋ,522-0081,彦根市京町三丁目,彦根市京町三丁目７－４０,７－４０,23-7015,近藤 秀男,S58/12/01,,,,彦根,5627913.pdf
理容所,福本理容店,522-0009,彦根市外町,彦根市外町１８４,１８４,0749-22-7146,福本 秀子,S38/03/20,,,,彦根,5627913.pdf
理容所,平塚理容店,522-0333,犬上郡多賀町萱原,犬上郡多賀町萱原１２８３,１２８３,47-1520,平塚 サヨ子,S47/08/08,,,,彦根,5627913.pdf
理容所,北川理髪店,522-0222,彦根市南川瀬町,彦根市南川瀬町８１０,８１０,0749-25-0466,北川 哲司,H17/10/11,,,,彦根,5627913.pdf
理容所,北川理容所,529-1162,犬上郡豊郷町八町,犬上郡豊郷町八町９４５,９４５,35-3504,北川 貞吉,S39/12/19,,,,彦根,5627913.pdf
理容所,理髪屋 Ｒａ・Ｃｏｏｎ,522-0047,彦根市日夏町,彦根市日夏町１１２－６,１１２－６,0749-25-3626,疋田 清孝,H16/08/05,,,,彦根,5627913.pdf
理容所,理容 ＮＩＳＨＩＭＵＲＡ,522-0056,彦根市開出今町,彦根市開出今町１２９,１２９,0749-28-0382,西村 邦子,H18/04/24,,,,彦根,5627913.pdf
理容所,理容 いのうえ,522-0324,犬上郡多賀町川相,犬上郡多賀町川相６０３－５,６０３－５,47-1117,井上 龍子,S48/06/25,,,,彦根,5627913.pdf
理容所,理容 うえの,522-0254,犬上郡甲良町池寺,犬上郡甲良町池寺６４２,６４２,38-3919,上野 実枝子,H13/09/25,,,,彦根,5627913.pdf
理容所,理容 おがわ,529-1223,愛知郡愛荘町島川,愛知郡愛荘町島川６６８,６６８,0749-42-3453,小川 一郎,H07/03/01,,,,彦根,5627913.pdf
理容所,理容 オックス,522-0201,彦根市高宮町,彦根市高宮町２９２６,２９２６,28-0046,金澤 誠一,S49/08/17,,,,彦根,5627913.pdf
理容所,理容 くら,522-0047,彦根市日夏町,彦根市日夏町３８７１,３８７１,0749-28-3970,田中 章人,H16/03/29,,,,彦根,5627913.pdf
理容所,理容 コンドー,522-0063,彦根市中央町,彦根市中央町５－５,５－５,0749-22-5801,近藤 正彦,S49/09/20,,,,彦根,5627913.pdf
理容所,理容 シミズ,522-0069,彦根市馬場二丁目,彦根市馬場二丁目３－３２,３－３２,22-4458,清水 幸造,H09/10/14,,,,彦根,5627913.pdf
理容所,理容 たつみ,522-0041,彦根市平田町,彦根市平田町９２０,９２０,0749-22-2458,松川 辰巳,S55/01/07,,,,彦根,5627913.pdf
理容所,理容 たなか,522-0201,彦根市高宮町,彦根市高宮町１４４１－２０,１４４１－２０,24-0646,田中 久雄,S50/06/30,,,,彦根,5627913.pdf
理容所,理容 トム,522-0022,彦根市里根町,彦根市里根町２０７－１,２０７－１,0749-24-3925,土田 勉,H05/02/22,,,,彦根,5627913.pdf
理容所,理容 ひきた,522-0263,犬上郡甲良町法養寺,犬上郡甲良町法養寺２３－１,２３－１,0749-38-2880,疋田 勇眞,S59/03/20,,,,彦根,5627913.pdf
理容所,理容 ヒロシ,521-1123,彦根市肥田町,彦根市肥田町９７２－５,９７２－５,43-5903,山本 宏,S54/05/22,,,,彦根,5627913.pdf
理容所,Ｈａｉｒ Ｐｌａｃｅ Ｆｕｊｉｎｏ,521-1123,彦根市肥田町,彦根市肥田町２８２,２８２,0749-43-2402,藤野 眞理,S56/07/21,,,,彦根,5627913.pdf
理容所,理容 ホルン,522-0086,彦根市後三条町,彦根市後三条町３６５－７,３６５－７,23-0257,西沢 一子,S47/12/15,,,,彦根,5627913.pdf
理容所,理容 やまだ,529-1325,愛知郡愛荘町東円堂,愛知郡愛荘町東円堂１４３７,１４３７,42-4032,茶谷 由美,H16/03/23,,,,彦根,5627913.pdf
理容所,理容 やまぢ,522-0041,彦根市平田町,彦根市平田町２０９－４,２０９－４,23-4417,山内 芳隆,H07/02/27,,,,彦根,5627913.pdf
理容所,理容 安澤,522-0271,犬上郡甲良町下之郷,犬上郡甲良町下之郷１５５０－１,１５５０－１,0749-38-3482,安澤 善己,H10/03/19,,,,彦根,5627913.pdf
理容所,理容 山田,521-1101,彦根市石寺町,彦根市石寺町１３３１,１３３１,43-2587,山田 喜代子,S45/11/04,,,,彦根,5627913.pdf
理容所,理容 松田,522-0072,彦根市船町,彦根市船町１－１７,１－１７,22-7190,松田 昭次郎,S56/12/14,,,,彦根,5627913.pdf
理容所,理容ＭＡＲＵＹＡＭＡ,522-0021,彦根市幸町,彦根市幸町１５－１,１５－１,0749-23-8985,丸山 国広,H12/11/02,,,,彦根,5627913.pdf
理容所,理容サミット 南彦根店,522-0201,彦根市高宮町,彦根市高宮町１５５１－４,１５５１－４,0749-26-6677,渡部 敦史,H13/04/25,,,,彦根,5627913.pdf
理容所,理容にしかわ,529-1224,愛知郡愛荘町長塚,愛知郡愛荘町長塚１９４－１,１９４－１,37-3136,西川 健次,S30/03/25,,,,彦根,5627913.pdf
理容所,理容ハネダ,529-1314,愛知郡愛荘町中宿,愛知郡愛荘町中宿１０４－１,１０４－１,0749-42-3376,羽田 康雄,H06/01/17,,,,彦根,5627913.pdf
理容所,理容木村,522-0201,彦根市高宮町,彦根市高宮町２２８４,２２８４,0749-22-3612,木村 一夫,S50/04/28,,,,彦根,5627913.pdf
理容所,和田理容店,522-0201,彦根市高宮町,彦根市高宮町２２３７－１,２２３７－１,0749-22-1827,和田 兼吾,H13/02/09,,,,彦根,5627913.pdf
理容所,脇坂理容所,522-0068,彦根市城町一丁目,彦根市城町一丁目７－３３,７－３３,22-3782,脇坂 敏一,S41/05/23,,,,彦根,5627913.pdf
理容所,脇坂理容店,522-0004,彦根市鳥居本町,彦根市鳥居本町１８４５,１８４５,24-1556,脇坂 忠雄,H14/04/02,,,,彦根,5627913.pdf
理容所,ＮＯＶＩＴＡカット,522-0052,彦根市長曽根南町,彦根市長曽根南町５５０－３,５５０－３,,森園 芳樹,H21/09/01,,,,彦根,5627913.pdf
理容所,ｎｅａｒ,522-0007,彦根市古沢町,彦根市古沢町彦根駅土地区画整理１２街区 ７,彦根駅土地区画整理１２街区 ７,0749-24-7755,田中 一成,H22/05/13,,,,彦根,5627913.pdf
理容所,バーバー・モダンタイムス,522-0041,彦根市平田町,彦根市平田町７０７－２,７０７－２,,濵田 昌樹,H22/05/28,,,,彦根,5627913.pdf
理容所,ヘアーサロン プリンス,529-1233,愛知郡愛荘町東出,愛知郡愛荘町東出４０２－２,４０２－２,0749-37-2338,上林 善治,H23/02/09,,,,彦根,5627913.pdf
理容所,しが理容 ベルロード店,522-0053,彦根市大藪町,彦根市大藪町２１－２２,２１－２２,0749-27-2641,港屋ハウジング株式会社,H23/04/26,,,,彦根,5627913.pdf
理容所,しが理容 日夏店,522-0047,彦根市日夏町,彦根市日夏町１７１１－２６,１７１１－２６,0749-28-4451,港屋ハウジング株式会社,H23/04/27,,,,彦根,5627913.pdf
理容所,１１４０ ＨＡＩＲ,522-0055,彦根市野瀬町,彦根市野瀬町５１－３,５１－３,0749-30-1140,石川 幸宏,H23/07/08,,,,彦根,5627913.pdf
理容所,理容ＡＢＣ６,522-0047,彦根市日夏町,彦根市日夏町８１０－２６,８１０－２６,0749-28-3766,増田 敬,H23/12/02,,,,彦根,5627913.pdf
理容所,ハンズ,522-0047,彦根市日夏町,彦根市日夏町２６８６－４,２６８６－４,0749-25-4919,白井 ヒロミ,H23/12/01,,,,彦根,5627913.pdf
理容所,春 うらら,522-0244,犬上郡甲良町在士,犬上郡甲良町在士６０２－４,６０２－４,0749-20-9328,小嶋 喜美子,H24/03/13,,,,彦根,5627913.pdf
理容所,Ａ’ｓ １０３,522-0241,犬上郡甲良町呉竹,犬上郡甲良町呉竹３４７,３４７,0749-20-4991,山田 知美,H24/10/16,,,,彦根,5627913.pdf
理容所,ＧＲＡＮＤＩＲ,522-0041,彦根市平田町,彦根市平田町１３６－５,１３６－５,0749-20-5181,エイチ・アイ株式会社,H24/10/19,,,,彦根,5627913.pdf
理容所,ヘアーサロン Ｈａｉｒ’ｓ ＫＩＤ キッド,529-1325,愛知郡愛荘町東円堂,愛知郡愛荘町東円堂１０７５－１,１０７５－１,,繁田 利男,H25/06/24,,,,彦根,5627913.pdf
理容所,ＡＲＲＯＷＳ,522-0023,彦根市原町,彦根市原町８０２－１４,８０２－１４,0749-23-1204,矢野 世才,H25/08/19,,,,彦根,5627913.pdf
理容所,ｅｓ ｈａｉｒ ｄｅｓｉｇｎ,529-1313,愛知郡愛荘町市,愛知郡愛荘町市６９７－２２,６９７－２２,0749-29-1677,谷田 司,H26/01/15,,,,彦根,5627913.pdf
理容所,理容カットエー,522-0027,彦根市東沼波町,彦根市東沼波町１３３－２,１３３－２,0749-47-6278,株式会社カットツイン,H26/03/20,,,,彦根,5627913.pdf
理容所,理容サミット 彦根店,522-0009,彦根市外町,彦根市外町１４０－５ エースシティー,１４０－５ エースシティー,0749-24-5252,有限会社理容サミット,H26/09/24,,,,彦根,5627913.pdf
理容所,Ｃｕｔ Ｈａｌｌジュネス愛知店,529-1325,愛知郡愛荘町東円堂,愛知郡愛荘町東円堂２５１１－１６,２５１１－１６,0749-47-6558,株式会社武真アビリティ,H27/10/29,,,,彦根,5627913.pdf
理容所,カットコムズ彦根,522-0044,彦根市竹ケ鼻町,彦根市竹ケ鼻町４３－２ビバシティ彦根店内 １Ｆ,４３－２ビバシティ彦根店内 １Ｆ,,前川 政光,H28/03/22,,,,彦根,5627913.pdf
理容所,アートネイチャー彦根店（理容）,522-0074,彦根市大東町,彦根市大東町５－１２ ＵＫＡＩビル３階,５－１２ ＵＫＡＩビル３階,0749-24-5100,株式会社アートネイチャー,H29/01/24,,,,彦根,5627913.pdf
理容所,カットコムズ ザ・ビッグ豊郷店,529-1173,犬上郡豊郷町高野瀬,犬上郡豊郷町高野瀬１９７－１ ザ・ビッグ豊郷 店内,１９７－１ ザ・ビッグ豊郷 店内,,前川 政光,H29/03/01,,,,彦根,5627913.pdf
理容所,Ｒｉｒａｋｕ,522-0054,彦根市西今町,彦根市西今町３８４－１,３８４－１,0749-23-0294,北川 裕康,H29/12/05,,,,彦根,5627913.pdf
理容所,ヘアーサロン タナカ,521-1133,彦根市本庄町,彦根市本庄町２４２２－２,２４２２－２,0749-43-3727,田中 正幸,H31/02/20,,,,彦根,5627913.pdf
理容所,平塚理容,522-0025,彦根市野田山町,彦根市野田山町７０７－５,７０７－５,,平塚 富雄,H31/04/03,,,,彦根,5627913.pdf
理容所,ｔｏｉ,522-0054,彦根市西今町,彦根市西今町８７６－２,８７６－２,,秋山 里香,R01/11/01,,,,彦根,5627913.pdf
理容所,ＢＥＥＴ ＨＡＩＲ イオンタウン彦根 店,522-0007,彦根市古沢町,彦根市古沢町２５５－１ イオンタウン彦 根１Ｆ,２５５－１ イオンタウン彦 根１Ｆ,0749-49-2766,株式会社Ｌ＆Ｂホールディ ングス,R02/09/01,,,,彦根,5627913.pdf
理容所,絵歩越楠,529-1176,犬上郡豊郷町大町,犬上郡豊郷町大町３０１０－１,３０１０－１,0749-35-5288,中村 浩明,R02/11/24,,,,彦根,5627913.pdf
理容所,ＨＡＩＲ Ｇｒａｚｉｅ,522-0057,彦根市八坂町,彦根市八坂町３１１１－１,３１１１－１,0749-25-0468,西村 友規美,R02/11/26,,,,彦根,5627913.pdf
理容所,チヤキ理容,522-0213,彦根市西葛籠町,彦根市西葛籠町４７０－１,４７０－１,0749-25-0336,茶木 初枝,R02/11/27,,,,彦根,5627913.pdf
理容所,ＣＵＴ・ＭＫ,522-0054,彦根市西今町,彦根市西今町８５０－５７ 尾本ハイツ１ ０１,８５０－５７ 尾本ハイツ１ ０１,0749-23-6625,大久保 六男,R03/03/11,,,,彦根,5627913.pdf
理容所,理容プラーナ 彦根ベルロード店,522-0052,彦根市長曽根南町,彦根市長曽根南町４４８－７,４４８－７,0749-49-2291,株式会社ハマ,R03/12/10,,,,彦根,5627913.pdf
理容所,ｃｕｔ ｏｎｌｙ ｉｎｏ,522-0081,彦根市京町三丁目,彦根市京町三丁目４－４８,４－４８,,井上 徹,R06/03/12,,,,彦根,5627913.pdf
理容所,ＢＡＲＢＥＲ ＲＩＶＥＲ,526-0823,長浜市常喜町,長浜市常喜町５４８－１,５４８－１,0749-63-2521,北村 謹子,H17/05/17,,,,長浜,5627913.pdf
理容所,ＢＡＲＢＥＲ ツジ,521-0022,米原市樋口,米原市樋口４５１,４５１,54-0878,辻 春樹,H13/06/08,,,,長浜,5627913.pdf
理容所,ＣＵＴ－ＩＮ ＨＡＬ,529-0412,長浜市木之本町石道,長浜市木之本町石道７２２－２,７２２－２,82-3765,吉田 治幸,S60/06/18,,,,長浜,5627913.pdf
理容所,Ｈａｉｒ Ｆａｃｔｏｒｙ ｈｄ’ｓ,521-0072,米原市顔戸,米原市顔戸６２７－１,６２７－１,0749-52-3266,城市 享洋,H15/03/17,,,,長浜,5627913.pdf
理容所,Ｈａｉｒ Ｏａｋ,521-0202,米原市柏原,米原市柏原９０９,９０９,0749-57-0133,川瀬 博信,H10/11/25,,,,長浜,5627913.pdf
理容所,ＨＡＩＲ ＰＲＯＤＵＣＥ ＡＲＴ,529-0426,長浜市木之本町黒田,長浜市木之本町黒田９７１,９７１,,布施 貢,H13/01/05,,,,長浜,5627913.pdf
理容所,ＨＡＩＲ’Ｓ ＣＬＵＢ Ｅ’（イー ダッシュ）,529-0431,長浜市木之本町大音,長浜市木之本町大音１７５－６,１７５－６,82-5519,清水 勝彦,H13/06/12,,,,長浜,5627913.pdf
理容所,ＨＡＩＲＳＡＬＯＮＫＡＷＡＢＥ,521-0014,米原市梅ケ原栄,米原市梅ケ原栄４２,４２,52-3766,川部 邦彦,H09/03/13,,,,長浜,5627913.pdf
理容所,ＭＥＮ’Ｓ ＳＴＵＤＩＯＰＯＳＨ,521-0242,米原市長岡,米原市長岡９７４－１,９７４－１,55-0841,押谷 睦,H08/04/11,,,,長浜,5627913.pdf
理容所,Ｓａｌｏｎ ｄｅ ＳＯＲＡ,526-0834,長浜市大辰巳町,長浜市大辰巳町２２５－６,２２５－６,65-3859,小川 信一,H18/12/12,,,,長浜,5627913.pdf
理容所,ＳｈｉｍｉＺＺ,529-0241,長浜市高月町高月,長浜市高月町高月１７－２,１７－２,0749-85-3531,清水 政治,H19/10/05,,,,長浜,5627913.pdf
理容所,Ｔｒｅａｓｕｒｅ,526-0817,長浜市七条町,長浜市七条町４９,４９,0749-62-9843,河崎 剛,H19/12/19,,,,長浜,5627913.pdf
理容所,ＴＵ ＤＯ ｈａｉｒ ｍａｋｅ,526-0056,長浜市朝日町,長浜市朝日町５－３,５－３,0749-62-6148,中村 宰典,H13/11/09,,,,長浜,5627913.pdf
理容所,Ｗｉｓｈ ｈａｉｒ,526-0021,長浜市八幡中山町,長浜市八幡中山町５１４－６,５１４－６,0749-65-8777,富岡 吉樹,H15/11/07,,,,長浜,5627913.pdf
理容所,アオキ理容,526-0059,長浜市元浜町,長浜市元浜町１８－５,１８－５,62-5951,青木 謹一,S57/11/30,,,,長浜,5627913.pdf
理容所,アサヒ理容所,526-0033,長浜市平方町,長浜市平方町８８１－１,８８１－１,62-6473,久保 務,S44/11/06,,,,長浜,5627913.pdf
理容所,オリオン理容所,526-0024,長浜市三ツ矢元町,長浜市三ツ矢元町１１－２１,１１－２１,62-5039,周 弘明,S33/12/01,,,,長浜,5627913.pdf
理容所,かをり理容,529-0701,長浜市西浅井町塩津浜,長浜市西浅井町塩津浜８５８,８５８,88-0043,建部 正一郎,S34/02/13,,,,長浜,5627913.pdf
理容所,かけい理容室,529-0341,長浜市湖北町速水,長浜市湖北町速水１２５５－２,１２５５－２,78-2389,筧 幸雄,S60/04/05,,,,長浜,5627913.pdf
理容所,カツト 杉中,526-0126,長浜市安養寺町,長浜市安養寺町３５０,３５０,0749-72-4338,杉中 美智男,S53/04/19,,,,長浜,5627913.pdf
理容所,カットイン ありかわ,526-0033,長浜市平方町,長浜市平方町１１３１－６,１１３１－６,64-1098,有川 昭雄,S56/10/29,,,,長浜,5627913.pdf
理容所,カットスタジオ きたやま,529-0223,長浜市高月町馬上,長浜市高月町馬上１２８８－３,１２８８－３,85-4301,北山 正博,S63/09/09,,,,長浜,5627913.pdf
理容所,カットハウス ＫＩＴＡＭＵＲＡ,526-0043,長浜市大戌亥町,長浜市大戌亥町７９０－１９,７９０－１９,65-2318,北村 和重,S63/12/09,,,,長浜,5627913.pdf
理容所,カットハウス すずらん,521-0214,米原市大鹿,米原市大鹿６９－５,６９－５,55-0210,中島 巌,S52/12/26,,,,長浜,5627913.pdf
理容所,カットハウス ノバ,526-0032,長浜市南高田町,長浜市南高田町１２６,１２６,64-0487,伊吹 豊,S58/12/03,,,,長浜,5627913.pdf
理容所,カットハウス ひかり,521-0012,米原市米原,米原市米原１１８４,１１８４,0749-52-0099,深田 平助,H20/01/22,,,,長浜,5627913.pdf
理容所,カットハウス フジタ,529-0231,長浜市高月町森本,長浜市高月町森本２５４－８,２５４－８,85-5296,藤田 俊一,S58/03/31,,,,長浜,5627913.pdf
理容所,カツトハウス ヤマモト,529-0354,長浜市湖北町山本,長浜市湖北町山本１３２３－２,１３２３－２,79-0356,山本 龍司,S59/11/19,,,,長浜,5627913.pdf
理容所,カットハウス 田中,529-0521,長浜市余呉町下余呉,長浜市余呉町下余呉１０７２,１０７２,86-2949,田中 常子,S61/03/25,,,,長浜,5627913.pdf
理容所,くもでのとこや,526-0014,長浜市口分田町,長浜市口分田町９８０,９８０,62-3757,吉田 忍,H05/12/22,,,,長浜,5627913.pdf
理容所,クリハラ理容店,526-0263,長浜市小室町,長浜市小室町３６７,３６７,0749-74-0463,栗原 一雄,S51/10/12,,,,長浜,5627913.pdf
理容所,クレールバーンたちばな,526-0021,長浜市八幡中山町,長浜市八幡中山町４８３,４８３,65-3986,石井 良和,H11/11/18,,,,長浜,5627913.pdf
理容所,サロンド カヨ,526-0015,長浜市神照町,長浜市神照町６８３－８,６８３－８,62-4028,山内 賢治,S61/02/24,,,,長浜,5627913.pdf
理容所,サン理容,529-0201,長浜市高月町横山,長浜市高月町横山５－７ ファストビル１階２ 号,５－７ ファストビル１階２ 号,0749-85-5313,永留 博毅,H15/07/31,,,,長浜,5627913.pdf
理容所,スズラン理容,521-0023,米原市三吉,米原市三吉１０４７,１０４７,54-2066,澤田 定,S46/08/03,,,,長浜,5627913.pdf
理容所,ｒｅｉｆ ＴＫＤ,526-0058,長浜市南呉服町,長浜市南呉服町１１－２１,１１－２１,63-5630,武田 眞幸,H06/12/02,,,,長浜,5627913.pdf
理容所,たにむら理容店,521-0062,米原市宇賀野,米原市宇賀野９２０,９２０,0749-52-0918,池野 由子,H06/01/12,,,,長浜,5627913.pdf
